"จังหวัด","จำนวนประชากรในเขตรับผิดชอบ","จำนวนประชากรสิทธิหลักประกันสุขภาพถ้วนหน้า","จำนวนประชากรสิทธิประกันสังคม","จำนวนประชากรสิทธิข้าราชการ","จำนวนอสม.","จำนวนหลังคาเรือน","จำนวนหมู่บ้าน","จำนวนโรงเรียน","จำนวนนักเรียน","จำนวนศูนย์เด็กเล็ก","จำนวนประชากรอายุ 60 ปี ขึ้นไป","จำนวนประชากรอายุ 0 ถึง 5 ปี","จำนวนอาสาสมัครประจำครอบครัว(อสค.)","จำนวนผู้ช่วยเหลือดูแลผู้สูงอายุที่มีภาวะพึ่งพิง(Caregiver)","จำนวนผู้พิการ","จำนวนผู้รับบริการทั้งหมดที่มารับบริการ(คน)","จำนวนผู้รับบริการทั้งหมดที่มารับบริการ(ครั้ง)","จำนวนผู้ป่วยนอกทั้งหมดที่มารับบริการ(คน)","จำนวนผู้ป่วยนอกทั้งหมดที่มารับบริการ(ครั้ง)"
"สมุทรปราการ","1,013,450","656,780","267,876","48,797","4,661","333,365","567","214","0","72","172,632","40,322","0","0","7,380","759,441","1,691,501","263,658","592,118"
"นนทบุรี","1,044,877","655,260","186,575","117,050","4,068","188,037","637","533","0","35","202,758","28,607","0","0","4,746","854,908","2,192,372","403,300","1,086,838"
"ปทุมธานี","708,763","562,863","80,206","35,831","5,445","183,040","608","255","0","37","111,419","49,156","0","5","7,082","838,541","2,067,726","341,777","802,743"
"พระนครศรีอยุธยา","660,932","440,418","136,057","52,713","7,008","234,695","1,531","452","0","221","132,440","31,077","0","21","10,414","705,825","2,145,648","404,688","1,082,027"
"อ่างทอง","229,792","171,669","30,251","21,490","1,954","82,221","543","178","0","69","53,209","10,226","0","8","3,615","312,108","1,155,642","169,080","525,562"
"ลพบุรี","492,455","364,214","57,157","43,815","9,957","207,292","1,118","297","0","112","110,739","25,357","0","1","9,887","573,892","1,842,981","268,805","746,962"
"สิงห์บุรี","172,354","120,603","25,578","21,389","3,707","68,274","369","136","0","20","44,818","7,446","0","26","2,649","230,242","786,136","125,468","407,035"
"ชัยนาท","243,140","199,576","19,538","21,396","8,944","109,212","537","212","0","79","64,495","12,611","0","20","6,272","298,463","1,089,183","157,740","532,620"
"สระบุรี","559,784","382,771","118,779","35,811","4,881","194,880","1,100","314","0","88","100,927","24,378","0","0","9,338","511,367","1,543,194","266,210","750,326"
"ชลบุรี","1,229,723","790,952","252,303","62,313","10,636","439,168","790","448","0","87","181,693","53,593","0","0","7,352","1,782,018","4,665,234","835,359","2,038,969"
"ระยอง","582,638","399,738","105,521","31,306","8,883","239,352","614","290","0","74","86,230","31,615","0","18","4,207","858,985","2,132,110","345,905","785,299"
"จันทบุรี","426,803","353,296","30,732","28,169","6,683","173,455","779","256","0","119","86,185","21,111","0","0","6,488","419,060","1,128,841","222,208","491,821"
"ตราด","164,044","125,992","12,599","13,700","3,425","74,529","265","136","0","35","33,972","9,751","0","6","2,059","255,168","851,004","148,483","416,308"
"ฉะเชิงเทรา","571,270","411,896","111,551","38,370","7,400","194,522","936","390","0","189","107,248","30,536","0","0","10,318","657,171","1,887,548","328,213","760,061"
"ปราจีนบุรี","417,880","297,440","78,017","32,409","7,733","134,715","708","259","0","89","73,687","25,489","0","241","5,822","643,141","1,822,316","316,748","759,553"
"นครนายก","185,910","137,828","23,076","16,766","3,259","77,402","406","136","0","59","42,563","10,296","0","0","5,013","248,183","783,333","124,755","332,103"
"สระแก้ว","428,473","343,310","49,088","26,825","7,004","171,109","837","329","0","112","73,379","27,786","0","5","6,345","660,193","1,973,371","307,268","757,385"
"นครราชสีมา","1,878,602","1,500,241","187,106","114,633","25,616","690,814","3,921","1,440","0","346","396,837","110,786","0","4","35,073","2,599,803","8,587,809","1,398,968","3,608,031"
"บุรีรัมย์","1,056,373","914,559","45,457","59,915","25,874","416,996","2,582","940","0","324","218,110","76,497","0","6","45,272","1,356,340","4,440,883","784,851","1,924,177"
"สุรินทร์","921,697","798,314","42,793","49,557","7,434","336,477","2,170","848","0","397","198,750","66,253","0","8","32,103","1,335,287","4,234,295","797,302","2,028,598"
"ศรีสะเกษ","1,014,855","857,573","62,855","58,872","22,456","330,470","2,961","1,052","0","427","202,599","74,394","0","90","29,100","1,512,465","5,595,709","921,769","2,366,651"
"อุบลราชธานี","1,402,915","1,164,549","103,008","86,277","30,203","452,190","3,077","1,288","0","488","244,243","97,226","0","41","27,482","1,738,759","5,523,945","890,009","2,296,319"
"ยโสธร","376,460","325,566","17,922","27,902","8,867","136,870","908","432","0","142","81,723","23,982","0","4","12,722","362,040","1,326,829","210,010","591,314"
"ชัยภูมิ","797,002","676,825","43,377","49,382","14,079","337,280","1,664","833","0","264","179,208","49,178","0","0","20,536","1,036,062","3,440,667","637,184","1,651,769"
"อำนาจเจริญ","291,106","242,469","9,322","33,187","5,754","96,642","599","274","0","168","54,989","18,971","0","3","6,754","341,250","1,091,785","214,220","543,142"
"บึงกาฬ","313,550","277,992","14,464","17,783","5,255","94,246","586","248","0","115","52,564","21,513","0","0","4,917","373,340","1,144,568","214,894","530,353"
"หนองบัวลำภู","413,489","356,311","32,564","15,010","8,583","110,385","626","232","0","113","69,593","26,492","0","0","11,137","443,084","1,337,862","160,796","369,188"
"ขอนแก่น","1,344,336","1,079,362","136,978","102,788","28,541","417,552","2,410","1,031","0","193","276,254","80,141","0","19","28,031","1,663,834","5,114,587","759,891","1,874,899"
"อุดรธานี","1,261,937","1,100,194","77,349","64,307","21,994","384,645","2,034","971","0","365","214,685","78,328","0","2","25,049","1,422,371","4,549,050","775,620","2,078,695"
"เลย","532,981","463,426","29,288","34,131","9,486","167,833","966","472","0","178","104,526","32,748","0","2","18,909","679,060","2,288,172","451,126","1,176,360"
"หนองคาย","381,827","317,896","31,131","24,182","9,923","139,329","738","337","0","87","69,744","24,060","0","5","8,538","566,210","1,798,065","302,369","860,155"
"มหาสารคาม","666,660","552,826","41,468","57,932","14,725","250,393","2,010","694","0","190","146,738","39,480","0","19","13,239","877,185","2,999,298","465,341","1,197,509"
